;Z;N
532;61;66
533;61;67
534;61;68
535;61;69
536;61;70
537;61;71
538;61;72
539;61;73
540;61;74
541;61;75
542;61;76
543;61;77
544;61;78
545;61;79
546;61;80
547;61;81
548;62;66
549;62;67
550;62;68
551;62;69
552;62;70
553;62;71
554;62;72
555;62;73
556;62;74
557;62;75
558;62;76
559;62;77
560;62;78
561;62;79
562;62;80
563;62;81
564;63;69
565;63;70
566;63;71
567;63;72
568;63;73
569;63;74
570;63;75
571;63;76
572;63;77
573;63;78
574;63;79
575;63;80
576;63;81
577;63;82
578;63;83
579;63;84
580;63;85
581;63;87
582;63;89
583;64;69
584;64;70
585;64;71
586;64;72
587;64;73
588;64;74
589;64;75
590;64;76
591;64;77
592;64;78
593;64;79
594;64;80
595;64;81
596;64;83
597;64;85
598;65;71
599;65;73
600;65;74
601;65;75
602;65;76
603;65;77
604;65;78
605;65;79
606;65;80
607;65;81
608;65;82
609;65;83
610;65;84
611;65;85
612;65;86
613;65;87
614;65;88
615;65;89
616;65;91
617;65;93
618;66;72
619;66;73
620;66;74
621;66;75
622;66;76
623;66;77
624;66;78
625;66;79
626;66;80
627;66;81
628;66;82
629;66;83
630;66;84
631;66;85
632;66;87
633;66;89
634;66;91
635;67;75
636;67;76
637;67;77
638;67;78
639;67;79
640;67;80
641;67;81
642;67;82
643;67;83
644;67;84
645;67;85
646;67;86
647;67;87
648;67;88
649;67;89
650;67;90
651;67;91
652;67;92
653;67;93
654;67;95
655;68;75
656;68;76
657;68;77
658;68;78
659;68;79
660;68;80
661;68;81
662;68;82
663;68;83
664;68;86
665;68;87
666;68;88
667;68;89
668;68;91
669;68;93
670;68;95
671;69;78
672;69;79
673;69;80
674;69;81
675;69;82
676;69;83
677;69;86
678;69;87
679;69;88
680;69;89
681;69;90
682;69;91
683;69;92
684;69;93
685;69;94
686;69;95
687;69;96
688;69;97
689;69;99
690;70;78
691;70;79
692;70;80
693;70;81
694;70;82
695;70;83
696;70;86
697;70;87
698;70;88
699;70;89
700;70;90
701;70;91
