;Z;N
0;4;3
1;18;19
2;20;21
3;22;22
4;23;26
5;24;27
6;25;28
7;25;29
8;26;29
9;27;30
10;31;36
11;32;36
12;32;39
13;33;40
14;34;38
15;34;41
16;36;45
17;37;46
18;38;44
19;38;47
20;40;48
21;41;50
22;42;51
23;43;54
24;45;56
25;46;54
26;46;57
27;48;61
28;49;62
29;50;60
30;51;68
31;52;66
32;53;72
33;54;68
34;54;73
35;55;76
36;56;72
37;56;77
38;57;80
39;58;76
40;58;81
41;60;80
42;61;82
43;61;83
44;61;84
45;61;85
46;62;83
47;63;86
48;64;82
49;64;87
50;64;89
51;65;90
52;65;92
53;66;86
54;66;93
55;67;94
56;67;96
57;67;97
58;68;90
59;68;92
60;68;97
61;69;98
62;70;94
63;70;96
64;70;99
65;71;102
66;72;98
67;72;100
68;72;103
69;73;106
70;73;107
71;74;102
72;74;104
73;74;107
74;75;108
75;76;106
76;76;109
77;77;112
78;78;110
79;78;113
80;78;115
81;79;116
82;80;112
83;80;114
84;80;117
85;81;120
86;81;121
87;82;118
88;82;120
89;82;121
90;82;123
91;85;126
92;91;138
93;92;139
94;93;135
95;93;142
96;93;143
97;94;138
98;94;140
99;94;143
100;95;144
101;96;142
102;96;145
103;97;148
104;98;149
105;99;152
106;100;153
107;101;156
